feature,feature_type,target,alpha,chi2_p,cramers_v,iv,logit_lr_p,interpretation
a,categorical,fraude,0.05,2.371872621590785e-126,0.06242043361243625,0.06632652364291898,1.1524833087182076e-108,chi2: 0.000 (Significant) | Cramers_v: V=0.062 (Negligible) | IV: 0.066 (Weak) | logit_dummies_lr: 0.000 (Significant)
g,categorical,fraude,0.05,7.757972296868586e-63,0.05388907614325715,0.06896883762592632,7.582887625842186e-73,chi2: 0.000 (Significant) | Cramers_v: V=0.054 (Negligible) | IV: 0.069 (Weak) | logit_dummies_lr: 0.000 (Significant)
j,categorical,fraude,0.05,2.634338760710395e-112,0.2777324914023017,0.08228383923943072,3.636595550782102e-123,chi2: 0.000 (Significant) | Cramers_v: V=0.278 (Weak) | IV: 0.082 (Weak) | logit_dummies_lr: 0.000 (Significant)
n,categorical,fraude,0.05,0.0,0.16772814114995432,0.36144985035442834,0.0,chi2: 0.000 (Significant) | Cramers_v: V=0.168 (Weak) | IV: 0.361 (Strong) | logit_dummies_lr: 0.000 (Significant)
o,categorical,fraude,0.05,0.0,0.2256731317921583,0.4640287402419333,0.0,chi2: 0.000 (Significant) | Cramers_v: V=0.226 (Weak) | IV: 0.464 (Strong) | logit_dummies_lr: 0.000 (Significant)
p,categorical,fraude,0.05,0.0,0.10679971996641206,0.24551989838121785,0.0,chi2: 0.000 (Significant) | Cramers_v: V=0.107 (Weak) | IV: 0.246 (Medium) | logit_dummies_lr: 0.000 (Significant)
b_is_missing,categorical,fraude,0.05,3.5835744342499384e-14,0.019559285537700203,0.007245984750080993,2.735729668798347e-13,chi2: 0.000 (Significant) | Cramers_v: V=0.020 (Negligible) | IV: 0.007 (Useless) | logit_dummies_lr: 0.000 (Significant)
c_is_missing,categorical,fraude,0.05,3.5835744342499384e-14,0.019559285537700203,0.007245984750080993,2.735729668798347e-13,chi2: 0.000 (Significant) | Cramers_v: V=0.020 (Negligible) | IV: 0.007 (Useless) | logit_dummies_lr: 0.000 (Significant)
o_is_missing,categorical,fraude,0.05,0.0,0.21979622782623245,0.8749862933736736,0.0,chi2: 0.000 (Significant) | Cramers_v: V=0.220 (Weak) | IV: 0.875 (Suspicious (check leakage)) | logit_dummies_lr: 0.000 (Significant)
e_is_zero,categorical,fraude,0.05,8.531796888206101e-21,0.02414895236268436,0.012158125154415807,1.1661904821792645e-20,chi2: 0.000 (Significant) | Cramers_v: V=0.024 (Negligible) | IV: 0.012 (Useless) | logit_dummies_lr: 0.000 (Significant)
f_is_zero,categorical,fraude,0.05,0.0,0.13463591475394318,0.2838733147250173,0.0,chi2: 0.000 (Significant) | Cramers_v: V=0.135 (Weak) | IV: 0.284 (Medium) | logit_dummies_lr: 0.000 (Significant)
m_is_zero,categorical,fraude,0.05,0.0,0.10514558357687272,0.16320634835846617,1.1468490304899471e-280,chi2: 0.000 (Significant) | Cramers_v: V=0.105 (Weak) | IV: 0.163 (Medium) | logit_dummies_lr: 0.000 (Significant)
h_is_zero,categorical,fraude,0.05,3.123557389047361e-104,0.055979228152784645,0.051077435603245555,2.4435236538858874e-87,chi2: 0.000 (Significant) | Cramers_v: V=0.056 (Negligible) | IV: 0.051 (Weak) | logit_dummies_lr: 0.000 (Significant)
c_top1_flag,categorical,fraude,0.05,4.590776037189048e-17,0.02168026787436512,0.007079768522871999,8.676496074837778e-14,chi2: 0.000 (Significant) | Cramers_v: V=0.022 (Negligible) | IV: 0.007 (Useless) | logit_dummies_lr: 0.000 (Significant)
e_top1_flag,categorical,fraude,0.05,0.008806773282395645,0.006763430313357174,0.0008519176493609143,0.01199690321708821,chi2: 0.009 (Significant) | Cramers_v: V=0.007 (Negligible) | IV: 0.001 (Useless) | logit_dummies_lr: 0.012 (Significant)
f_top1_flag,categorical,fraude,0.05,5.659883287283057e-11,0.01691836568356652,0.010570205904159727,1.087965482292736e-14,chi2: 0.000 (Significant) | Cramers_v: V=0.017 (Negligible) | IV: 0.011 (Useless) | logit_dummies_lr: 0.000 (Significant)
monto_top1_flag,categorical,fraude,0.05,2.967811856215433e-63,0.04334743973560735,0.02339419198470983,1.0329371263355473e-43,chi2: 0.000 (Significant) | Cramers_v: V=0.043 (Negligible) | IV: 0.023 (Weak) | logit_dummies_lr: 0.000 (Significant)
bin_c,categorical,fraude,0.05,7.123016261040159e-69,0.048222482519089185,0.04566878745643996,2.7085345764696815e-65,chi2: 0.000 (Significant) | Cramers_v: V=0.048 (Negligible) | IV: 0.046 (Weak) | logit_dummies_lr: 0.000 (Significant)
bin_d,categorical,fraude,0.05,9.79382717718151e-268,0.09182392401921714,0.16678217133534864,1.103135634600708e-252,chi2: 0.000 (Significant) | Cramers_v: V=0.092 (Negligible) | IV: 0.167 (Medium) | logit_dummies_lr: 0.000 (Significant)
bin_e,categorical,fraude,0.05,7.916133203494958e-42,0.036750844363136866,0.02903144078520127,2.3361838783949788e-42,chi2: 0.000 (Significant) | Cramers_v: V=0.037 (Negligible) | IV: 0.029 (Weak) | logit_dummies_lr: 0.000 (Significant)
bin_f,categorical,fraude,0.05,0.0,0.15120920218707581,0.44211113823506093,0.0,chi2: 0.000 (Significant) | Cramers_v: V=0.151 (Weak) | IV: 0.442 (Strong) | logit_dummies_lr: 0.000 (Significant)
bin_h,categorical,fraude,0.05,6.5466378680119724e-68,0.04764368618688227,0.04374897328681131,1.7816950780287028e-63,chi2: 0.000 (Significant) | Cramers_v: V=0.048 (Negligible) | IV: 0.044 (Weak) | logit_dummies_lr: 0.000 (Significant)
bin_k,categorical,fraude,0.05,0.32531405061578145,0.008294012495460433,0.0014531106523515348,0.3236415126198708,chi2: 0.325 (Not significant) | Cramers_v: V=0.008 (Negligible) | IV: 0.001 (Useless) | logit_dummies_lr: 0.324 (Not significant)
bin_l,categorical,fraude,0.05,0.0,0.1588322710148022,0.4061103172625545,0.0,chi2: 0.000 (Significant) | Cramers_v: V=0.159 (Weak) | IV: 0.406 (Strong) | logit_dummies_lr: 0.000 (Significant)
bin_m,categorical,fraude,0.05,0.0,0.12986820687321435,0.3174330248980772,0.0,chi2: 0.000 (Significant) | Cramers_v: V=0.130 (Weak) | IV: 0.317 (Strong) | logit_dummies_lr: 0.000 (Significant)
bin_score,categorical,fraude,0.05,0.0,0.2733532395993314,1.2886763910989867,0.0,chi2: 0.000 (Significant) | Cramers_v: V=0.273 (Weak) | IV: 1.289 (Suspicious (check leakage)) | logit_dummies_lr: 0.000 (Significant)
bin_monto,categorical,fraude,0.05,2.722360731368955e-137,0.06656635151409224,0.08115670139598391,5.228764556165025e-123,chi2: 0.000 (Significant) | Cramers_v: V=0.067 (Negligible) | IV: 0.081 (Weak) | logit_dummies_lr: 0.000 (Significant)
a_rare_grouped,categorical,fraude,0.05,2.371872621590785e-126,0.06242043361243625,0.06632652364291898,1.1524833087182076e-108,chi2: 0.000 (Significant) | Cramers_v: V=0.062 (Negligible) | IV: 0.066 (Weak) | logit_dummies_lr: 0.000 (Significant)
j_rare_grouped,categorical,fraude,0.05,4.668502970648197e-141,0.0659433731091575,0.052583635950586495,2.3856009531685207e-93,chi2: 0.000 (Significant) | Cramers_v: V=0.066 (Negligible) | IV: 0.053 (Weak) | logit_dummies_lr: 0.000 (Significant)
hour,categorical,fraude,0.05,5.3030288311866235e-163,0.07490702620238815,0.07714974125245365,2.6422286201445182e-114,chi2: 0.000 (Significant) | Cramers_v: V=0.075 (Negligible) | IV: 0.077 (Weak) | logit_dummies_lr: 0.000 (Significant)
weekday,categorical,fraude,0.05,0.0021245914440300526,0.011731642396729846,0.0029332431572870244,0.0019867788416062645,chi2: 0.002 (Significant) | Cramers_v: V=0.012 (Negligible) | IV: 0.003 (Useless) | logit_dummies_lr: 0.002 (Significant)
is_weekend,categorical,fraude,0.05,0.13409016281292807,0.0038682476212933475,0.0003181980636236743,0.13279524345003013,chi2: 0.134 (Not significant) | Cramers_v: V=0.004 (Negligible) | IV: 0.000 (Useless) | logit_dummies_lr: 0.133 (Not significant)
